Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,12/13/20,US,12653,11130,1355,12653,11130,1355,11130,12653,1355,null,null,1427,11130,1427,1427
Report,12/13/20,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,12/13/20,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,12/14/20,US,3789,3661,5,16442,14791,1360,7396,8221,680,null,null,23,14791,1450,725
Report,12/14/20,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,12/14/20,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,12/15/20,US,49527,46058,26,65969,60849,1386,20283,21989,462,null,null,46,60849,1496,498
Report,12/15/20,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,12/15/20,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,12/16/20,US,159506,152593,205,225475,213442,1591,53361,56368,398,null,null,225,213442,1721,430
Report,12/16/20,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,12/16/20,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,12/17/20,US,272261,261212,513,497736,474654,2104,94931,99547,421,null,null,533,474654,2254,450
Report,12/17/20,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,12/17/20,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,12/18/20,US,414723,402921,637,912459,877575,2741,146263,152076,457,null,null,638,877575,2892,482
Report,12/18/20,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,12/18/20,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,12/19/20,US,180853,175990,738,1093312,1053565,3479,150509,156187,497,null,null,739,1053565,3631,518
Report,12/19/20,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,12/19/20,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,12/20/20,US,103507,101161,512,1196819,1154726,3991,163371,169166,377,null,null,548,1154726,4179,393
Report,12/20/20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,12/20/20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,12/21/20,US,378706,370037,854,1575525,1524763,4845,215710,222726,498,null,null,858,1524763,5037,512
Report,12/21/20,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,12/21/20,LTC,14166,14002,0,16452,16089,0,2266,2317,0,null,null,0,16089,0,0
Admin,12/22/20,US,445557,436128,2097,2021082,1960891,6942,271435,279301,794,null,null,2100,1960891,7137,805
Report,12/22/20,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,12/22/20,LTC,16783,16561,9,33235,32650,9,4632,4715,1,null,null,9,32650,9,1
Admin,12/23/20,US,565543,553281,1697,2586625,2514172,8639,328676,337307,1007,null,null,1699,2514172,8836,1016
Report,12/23/20,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,12/23/20,LTC,22752,20181,13,55987,52831,22,7515,7965,3,null,null,13,52831,22,3
Admin,12/24/20,US,193416,187794,882,2780041,2701966,9521,318187,326043,1060,null,null,885,2701966,9721,1066
Report,12/24/20,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,12/24/20,LTC,2042,2026,16,58029,54857,38,7803,8256,5,null,null,16,54857,38,5
Admin,12/25/20,US,12089,11977,54,2792130,2713943,9575,262338,268524,976,null,null,54,2713943,9775,983
Report,12/25/20,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,12/25/20,LTC,115,115,0,58144,54972,38,7631,8056,5,null,null,0,54972,38,5
Admin,12/26/20,US,137844,135264,375,2929974,2849207,9950,256520,262380,924,null,null,378,2849207,10153,931
Report,12/26/20,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,12/26/20,LTC,9368,9241,13,67512,64213,51,8905,9348,7,null,null,13,64213,51,7
Admin,12/27/20,US,92835,90868,340,3022809,2940075,10290,255050,260855,900,null,null,387,2940075,10540,908
Report,12/27/20,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,12/27/20,LTC,8952,8825,8,76464,73038,59,10136,10596,8,null,null,8,73038,59,8
Admin,12/28/20,US,574647,560256,2388,3597456,3500331,12678,282224,288847,1119,null,null,2393,3500331,12933,1128
Report,12/28/20,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,12/28/20,LTC,59766,59154,22,136230,132192,81,16586,17111,12,null,null,22,132192,81,11
Admin,12/29/20,US,703639,682230,3104,4301095,4182561,15782,317381,325716,1263,null,null,3109,4182561,16042,1272
Report,12/29/20,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,12/29/20,LTC,79534,78400,75,215764,210592,156,25420,26075,21,null,null,75,210592,156,21
Admin,12/30/20,US,822567,799015,5615,5123662,4981576,21397,352486,362433,1823,null,null,5620,4981576,21662,1832
Report,12/30/20,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,12/30/20,LTC,77475,76378,247,293239,286970,403,33448,33893,54,null,null,247,286970,403,54
Admin,12/31/20,US,413495,401756,2094,5537157,5383332,23491,383052,393873,1996,null,null,2095,5383332,23757,2005
Report,12/31/20,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,12/31/20,LTC,16134,16057,70,309373,303027,473,35453,35906,62,null,null,70,303027,473,62
Admin,1/1/21,US,47953,45436,1697,5585110,5428768,25188,387832,398997,2230,null,null,1779,5428768,25536,2251
Report,1/1/21,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,1/1/21,LTC,1609,1605,4,310982,304632,477,35666,36119,63,null,null,4,304632,477,62
Admin,1/2/21,US,249733,242746,2265,5834843,5671514,27453,403187,414981,2500,null,null,2272,5671514,27808,2522
Report,1/2/21,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,1/2/21,LTC,46550,45834,38,357532,350466,515,40893,41431,66,null,null,38,350466,515,66
Admin,1/3/21,US,129766,123457,2128,5964609,5794971,29581,407842,420257,2756,null,null,2130,5794971,29938,2771
Report,1/3/21,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,1/3/21,LTC,32562,31876,57,390094,382342,572,44186,44804,73,null,null,57,382342,572,73
Admin,1/4/21,US,629234,574065,42245,6593843,6369036,71826,409815,428055,8450,null,null,42259,6369036,72197,8466
Report,1/4/21,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,1/4/21,LTC,85829,84933,58,475923,467275,630,47869,48527,78,null,null,58,467275,630,78
Admin,1/5/21,US,793482,697580,82506,7387325,7066616,154332,412008,440890,19793,null,null,82519,7066616,154716,19810
Report,1/5/21,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,1/5/21,LTC,96715,96116,103,572638,563391,733,50400,50982,82,null,null,103,563391,733,82
Admin,1/6/21,US,988618,804904,166349,8375943,7871520,320681,412849,464611,42755,null,null,166370,7871520,321086,42774
Report,1/6/21,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,1/6/21,LTC,94874,93986,175,667512,657377,908,52915,53467,72,null,null,175,657377,908,72
Admin,1/7/21,US,1125847,834780,269518,9501790,8706300,590199,474710,566376,80958,null,null,269529,8706300,590615,80979
Report,1/7/21,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,1/7/21,LTC,123189,122008,341,790701,779385,1249,68051,68761,111,null,null,341,779385,1249,110
Admin,1/8/21,US,1189750,815836,350927,10691540,9522136,941126,584767,729490,130848,null,null,350946,9522136,941561,130860
Report,1/8/21,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,1/8/21,LTC,113933,111848,1248,904634,891233,2497,83800,84807,289,null,null,1248,891233,2497,288
Admin,1/9/21,US,488240,356790,123867,11179780,9878926,1064993,601059,763562,148220,null,null,123871,9878926,1065432,148232
Report,1/9/21,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,1/9/21,LTC,50578,49662,337,955212,940895,2834,84347,85382,331,null,null,337,940895,2834,331
Admin,1/10/21,US,237912,167306,66998,11417692,10046232,1131991,607323,779011,157487,null,null,67008,10046232,1132440,157500
Report,1/10/21,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,1/10/21,LTC,35532,35039,283,990744,975934,3117,84799,85807,364,null,null,283,975934,3117,363
Admin,1/11/21,US,1028579,696013,313586,12446271,10742245,1445577,624744,836061,196250,null,null,313601,10742245,1446041,196263
Report,1/11/21,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,1/11/21,LTC,143416,131138,11374,1134160,1107072,14491,91400,94033,1980,null,null,11374,1107072,14491,1980
Admin,1/12/21,US,1205621,880128,305356,13651892,11622373,1750933,650822,894938,228086,null,null,305377,11622373,1751418,228100
Report,1/12/21,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,1/12/21,LTC,156440,142098,13410,1290600,1249170,27901,97968,102566,3881,null,null,13410,1249170,27901,3881
Admin,1/13/21,US,1278531,996345,263670,14930423,12618718,2014603,678171,936354,241989,null,null,263682,12618718,2015100,242002
Report,1/13/21,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,1/13/21,LTC,159903,143234,15805,1450503,1392404,43706,105004,111855,6114,null,null,15805,1392404,43706,6114
Admin,1/14/21,US,1268140,1122203,129122,16198563,13740921,2143725,719232,956681,221932,null,null,129132,13740921,2144232,221945
Report,1/14/21,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,1/14/21,LTC,141345,137739,2986,1591848,1530143,46692,107251,114449,6492,null,null,2986,1530143,46692,6491
Admin,1/15/21,US,1214603,1087938,113747,17413166,14828859,2257472,758103,960232,188049,null,null,113765,14828859,2257997,188062
Report,1/15/21,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,1/15/21,LTC,112906,110398,1463,1704754,1640541,48155,107044,114302,6523,null,null,1463,1640541,48155,6522
Admin,1/16/21,US,629514,556487,67882,18042680,15385346,2325354,786631,980414,180052,null,null,67892,15385346,2325889,180065
Report,1/16/21,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,1/16/21,LTC,64401,56659,7070,1769155,1697200,55225,108044,116277,7484,null,null,7070,1697200,55225,7484
Admin,1/17/21,US,292721,250990,39464,18335401,15636336,2364818,798586,988244,176118,null,null,39466,15636336,2365355,176130
Report,1/17/21,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,1/17/21,LTC,49113,43212,5653,1818268,1740412,60878,109211,118217,8252,null,null,5653,1740412,60878,8251
Admin,1/18/21,US,838343,616233,215345,19173744,16252569,2580163,787189,961067,162084,null,null,215363,16252569,2580718,162096
Report,1/18/21,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,1/18/21,LTC,170394,129289,40503,1988662,1869701,101381,108947,122071,12413,null,null,40503,1869701,101381,12412
Admin,1/19/21,US,1296860,944573,336379,20470604,17197142,2916542,796396,974101,166516,null,null,336387,17197142,2917105,166526
Report,1/19/21,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
Admin,1/19/21,LTC,180319,132004,47613,2168981,2001705,148994,107505,125483,17299,null,null,47613,2001705,148994,17299
